订单ID,客户ID,产品名称,销售数量,单价,销售日期,销售区域,总金额
ORD1049,CUST137,玻璃雕刻,92,471,2024-02-08,华北,43332
ORD1044,CUST136,玻璃雕刻,22,603,2024-06-03,华北,13266
ORD1010,CUST138,玻璃抛光,21,313,2024-03-02,西南,6573
ORD1004,CUST181,玻璃打磨,7,755,2024-02-23,西南,5285
ORD1044,CUST157,玻璃切割,86,990,2024-12-27,华南,85140
ORD1068,CUST106,玻璃雕刻,94,737,2024-05-07,华南,69278
ORD1028,CUST130,玻璃雕刻,76,357,2024-03-18,华东,27132
ORD1048,CUST169,玻璃雕刻,91,928,2024-03-04,华东,84448
ORD1033,CUST126,玻璃抛光,72,160,2024-10-19,华东,11520
ORD1061,CUST161,玻璃切割,99,743,2024-08-18,西南,73557
ORD1035,CUST199,玻璃雕刻,70,844,2024-11-26,东北,59080
ORD1080,CUST138,玻璃抛光,21,689,2024-09-18,华东,14469
ORD1074,CUST161,玻璃打磨,90,192,2024-01-16,东北,17280
ORD1098,CUST192,玻璃雕刻,24,124,2024-12-28,华东,2976
ORD1017,CUST175,玻璃雕刻,11,532,2024-05-10,华南,5852
ORD1028,CUST182,玻璃雕刻,16,475,2024-05-04,华东,7600
ORD1011,CUST119,玻璃切割,82,749,2024-02-05,华南,61418
ORD1059,CUST160,玻璃抛光,10,567,2024-05-09,华南,5670
ORD1087,CUST159,玻璃抛光,50,218,2024-09-10,华东,10900
ORD1036,CUST188,玻璃雕刻,11,707,2024-04-12,东北,7777
ORD1010,CUST175,玻璃打磨,6,918,2024-06-25,西南,5508
ORD1082,CUST118,玻璃雕刻,77,912,2024-11-19,东北,70224
ORD1038,CUST133,玻璃切割,22,799,2024-08-23,华南,17578
ORD1014,CUST171,玻璃雕刻,29,980,2024-01-06,华北,28420
ORD1081,CUST163,玻璃打磨,78,650,2024-02-16,华北,50700
ORD1055,CUST140,玻璃切割,43,502,2024-10-08,东北,21586
ORD1027,CUST161,玻璃切割,53,381,2024-09-29,华北,20193
ORD1071,CUST121,玻璃雕刻,6,533,2024-08-15,东北,3198
ORD1072,CUST104,玻璃打磨,29,353,2024-10-27,华北,10237
ORD1067,CUST177,玻璃切割,72,141,2024-11-13,华南,10152
ORD1051,CUST181,玻璃雕刻,47,317,2024-09-06,东北,14899
ORD1071,CUST181,玻璃打磨,24,918,2024-06-27,东北,22032
ORD1083,CUST153,玻璃切割,17,386,2024-01-24,西南,6562
ORD1030,CUST177,玻璃抛光,11,297,2024-07-30,西南,3267
ORD1062,CUST193,玻璃打磨,61,681,2024-11-12,华东,41541
ORD1024,CUST142,玻璃切割,8,506,2024-07-27,东北,4048
ORD1024,CUST145,玻璃抛光,23,967,2024-08-16,华南,22241
ORD1013,CUST197,玻璃雕刻,24,808,2024-11-24,西南,19392
ORD1077,CUST167,玻璃抛光,73,117,2024-08-08,华东,8541
ORD1071,CUST169,玻璃切割,5,647,2024-05-08,东北,3235
ORD1007,CUST166,玻璃打磨,78,483,2024-04-20,华北,37674
ORD1046,CUST173,玻璃打磨,48,469,2024-05-26,西南,22512
ORD1014,CUST128,玻璃抛光,6,423,2024-01-05,西南,2538
ORD1086,CUST114,玻璃打磨,88,949,2024-06-16,西南,83512
ORD1061,CUST164,玻璃抛光,80,751,2024-07-02,华北,60080
ORD1006,CUST197,玻璃雕刻,72,820,2024-01-21,华东,59040
ORD1036,CUST166,玻璃打磨,96,934,2024-06-15,西南,89664
ORD1007,CUST165,玻璃雕刻,11,456,2024-01-16,华南,5016
ORD1068,CUST161,玻璃打磨,87,987,2024-05-15,华北,85869
ORD1086,CUST183,玻璃抛光,8,891,2024-10-29,华北,7128
ORD1008,CUST167,玻璃打磨,25,219,2024-10-01,西南,5475
ORD1030,CUST149,玻璃雕刻,31,795,2024-06-04,华东,24645
ORD1037,CUST113,玻璃雕刻,69,226,2024-12-28,东北,15594
ORD1053,CUST166,玻璃抛光,58,319,2024-10-02,东北,18502
ORD1002,CUST124,玻璃抛光,27,767,2024-01-26,华北,20709
ORD1040,CUST145,玻璃雕刻,70,866,2024-12-14,华北,60620
ORD1036,CUST107,玻璃切割,55,549,2024-03-30,华南,30195
ORD1093,CUST148,玻璃雕刻,65,804,2024-07-21,华南,52260
ORD1049,CUST152,玻璃抛光,95,878,2024-12-23,华北,83410
ORD1072,CUST120,玻璃抛光,58,826,2024-06-26,西南,47908
ORD1085,CUST178,玻璃抛光,93,469,2024-05-06,华东,43617
ORD1055,CUST190,玻璃雕刻,17,385,2024-03-30,西南,6545
ORD1064,CUST188,玻璃雕刻,40,958,2024-09-15,东北,38320
ORD1036,CUST184,玻璃抛光,89,209,2024-07-20,华东,18601
ORD1040,CUST160,玻璃切割,52,466,2024-09-19,东北,24232
ORD1014,CUST120,玻璃打磨,92,351,2024-05-12,西南,32292
ORD1033,CUST182,玻璃雕刻,61,493,2024-05-05,华南,30073
ORD1079,CUST126,玻璃打磨,48,566,2024-02-25,东北,27168
ORD1034,CUST159,玻璃雕刻,37,882,2024-07-27,东北,32634
ORD1022,CUST136,玻璃雕刻,2,806,2024-01-17,东北,1612
ORD1018,CUST197,玻璃切割,36,972,2024-03-01,西南,34992
ORD1077,CUST179,玻璃雕刻,79,599,2024-01-17,华东,47321
ORD1000,CUST199,玻璃打磨,52,927,2024-10-06,华南,48204
ORD1041,CUST113,玻璃切割,41,750,2024-10-23,华东,30750
ORD1060,CUST118,玻璃雕刻,87,349,2024-02-06,华北,30363
ORD1042,CUST117,玻璃打磨,65,568,2024-05-21,东北,36920
ORD1093,CUST141,玻璃雕刻,2,714,2024-07-22,华北,1428
ORD1002,CUST132,玻璃抛光,62,820,2024-05-10,西南,50840
ORD1003,CUST164,玻璃雕刻,40,242,2024-04-04,华东,9680
ORD1037,CUST129,玻璃雕刻,90,205,2024-11-18,华南,18450
ORD1028,CUST190,玻璃切割,55,577,2025-01-01,西南,31735
ORD1028,CUST140,玻璃雕刻,76,701,2024-08-09,华北,53276
ORD1064,CUST183,玻璃打磨,52,324,2024-12-09,华东,16848
ORD1061,CUST102,玻璃切割,90,424,2024-01-24,华南,38160
ORD1078,CUST180,玻璃抛光,92,195,2024-01-04,华南,17940
ORD1017,CUST132,玻璃雕刻,1,468,2024-02-24,西南,468
ORD1055,CUST192,玻璃打磨,10,783,2024-04-04,东北,7830
ORD1024,CUST144,玻璃雕刻,13,448,2024-07-08,东北,5824
ORD1003,CUST195,玻璃打磨,42,435,2024-11-07,华南,18270
ORD1090,CUST155,玻璃雕刻,2,201,2024-07-29,华东,402
ORD1087,CUST174,玻璃打磨,18,714,2024-03-04,东北,12852
ORD1022,CUST107,玻璃打磨,19,659,2024-01-28,华南,12521
ORD1028,CUST152,玻璃雕刻,96,233,2024-10-15,西南,22368
ORD1026,CUST106,玻璃打磨,30,135,2024-09-16,华北,4050
ORD1091,CUST198,玻璃切割,87,921,2024-12-25,华南,80127
ORD1061,CUST160,玻璃打磨,61,240,2024-11-18,东北,14640
ORD1037,CUST144,玻璃切割,10,988,2024-03-10,华北,9880
ORD1015,CUST191,玻璃雕刻,65,307,2024-06-28,东北,19955
ORD1019,CUST138,玻璃雕刻,53,372,2024-05-04,西南,19716
ORD1002,CUST109,玻璃打磨,27,769,2024-08-11,东北,20763
ORD1046,CUST109,玻璃雕刻,69,518,2024-05-07,华北,35742
ORD1079,CUST169,玻璃雕刻,79,261,2024-03-19,华北,20619
ORD1015,CUST160,玻璃雕刻,12,781,2024-01-16,华北,9372
ORD1092,CUST112,玻璃雕刻,77,919,2024-11-08,西南,70763
ORD1060,CUST149,玻璃雕刻,61,849,2024-06-06,华北,51789
ORD1043,CUST169,玻璃切割,90,723,2024-07-22,华北,65070
ORD1051,CUST175,玻璃雕刻,93,876,2024-12-01,西南,81468
ORD1003,CUST134,玻璃打磨,84,214,2024-02-23,西南,17976
ORD1073,CUST127,玻璃抛光,60,678,2024-09-27,华南,40680
ORD1044,CUST124,玻璃雕刻,83,345,2024-04-09,华东,28635
ORD1098,CUST122,玻璃雕刻,42,553,2024-06-29,华南,23226
ORD1050,CUST167,玻璃雕刻,26,443,2024-09-11,华南,11518
ORD1039,CUST150,玻璃抛光,53,388,2024-01-13,东北,20564
ORD1017,CUST108,玻璃切割,46,215,2024-03-29,东北,9890
ORD1037,CUST103,玻璃打磨,22,273,2024-01-17,东北,6006
ORD1078,CUST124,玻璃雕刻,90,631,2024-10-31,华北,56790
ORD1066,CUST192,玻璃抛光,11,751,2024-09-11,华东,8261
ORD1097,CUST194,玻璃雕刻,44,232,2024-02-03,西南,10208
ORD1098,CUST127,玻璃雕刻,16,442,2024-01-19,华南,7072
ORD1051,CUST188,玻璃切割,62,103,2024-11-11,华东,6386
ORD1013,CUST194,玻璃打磨,6,883,2024-06-22,西南,5298
ORD1023,CUST163,玻璃雕刻,18,916,2024-03-19,华南,16488
ORD1087,CUST187,玻璃切割,94,376,2024-12-02,华南,35344
ORD1016,CUST190,玻璃雕刻,20,847,2024-03-24,华北,16940
ORD1002,CUST122,玻璃抛光,52,378,2024-04-29,华东,19656
ORD1076,CUST148,玻璃抛光,19,534,2024-03-24,华北,10146
ORD1072,CUST155,玻璃雕刻,90,556,2024-07-14,华北,50040
ORD1040,CUST158,玻璃切割,29,159,2024-03-09,东北,4611
ORD1015,CUST151,玻璃雕刻,22,662,2024-12-29,西南,14564
ORD1036,CUST199,玻璃切割,76,786,2024-03-13,华北,59736
ORD1034,CUST150,玻璃抛光,25,887,2024-04-21,华东,22175
ORD1043,CUST173,玻璃雕刻,53,122,2024-07-09,华南,6466
ORD1032,CUST101,玻璃抛光,10,394,2024-09-06,东北,3940
ORD1086,CUST119,玻璃雕刻,69,649,2024-08-03,西南,44781
ORD1044,CUST147,玻璃切割,100,751,2024-03-29,东北,75100
ORD1076,CUST128,玻璃切割,62,299,2024-10-25,华北,18538
ORD1074,CUST129,玻璃抛光,28,123,2024-01-25,东北,3444
ORD1023,CUST125,玻璃抛光,39,431,2024-08-16,华东,16809
ORD1097,CUST132,玻璃抛光,96,663,2024-06-09,华北,63648
ORD1005,CUST177,玻璃雕刻,99,976,2024-09-07,华北,96624
ORD1062,CUST124,玻璃抛光,9,604,2024-01-12,华北,5436
ORD1088,CUST128,玻璃雕刻,32,786,2024-03-11,华北,25152
ORD1034,CUST144,玻璃雕刻,16,576,2024-09-14,华北,9216
ORD1016,CUST199,玻璃打磨,75,532,2024-01-08,华北,39900
ORD1075,CUST104,玻璃切割,15,676,2024-11-13,华东,10140
ORD1088,CUST164,玻璃切割,49,345,2024-07-27,华南,16905
ORD1071,CUST104,玻璃切割,52,701,2024-08-11,东北,36452
ORD1029,CUST101,玻璃抛光,81,937,2024-04-16,西南,75897
ORD1032,CUST155,玻璃打磨,72,339,2024-03-04,西南,24408
ORD1027,CUST101,玻璃抛光,54,955,2024-08-04,西南,51570
ORD1020,CUST123,玻璃抛光,71,702,2024-05-11,华东,49842
ORD1020,CUST142,玻璃切割,53,889,2024-11-14,华南,47117
ORD1017,CUST111,玻璃雕刻,46,217,2024-06-04,东北,9982
ORD1012,CUST187,玻璃抛光,91,231,2024-06-12,东北,21021
ORD1020,CUST120,玻璃抛光,25,885,2024-12-08,东北,22125
ORD1029,CUST192,玻璃雕刻,86,111,2024-04-27,华南,9546
ORD1002,CUST122,玻璃打磨,63,864,2024-03-07,华北,54432
ORD1068,CUST117,玻璃切割,83,345,2024-02-17,华北,28635
ORD1028,CUST188,玻璃雕刻,65,949,2024-05-04,东北,61685
ORD1077,CUST174,玻璃雕刻,83,825,2024-08-11,东北,68475
ORD1043,CUST141,玻璃切割,34,225,2024-05-10,东北,7650
ORD1029,CUST181,玻璃切割,10,368,2024-11-17,华北,3680
ORD1062,CUST194,玻璃雕刻,37,832,2024-07-01,华北,30784
ORD1031,CUST175,玻璃雕刻,28,615,2024-03-21,东北,17220
ORD1070,CUST132,玻璃雕刻,31,450,2024-10-26,华南,13950
ORD1041,CUST175,玻璃雕刻,19,578,2024-07-07,华东,10982
ORD1014,CUST159,玻璃抛光,42,974,2024-04-24,东北,40908
ORD1042,CUST193,玻璃打磨,75,602,2024-10-06,华南,45150
ORD1029,CUST130,玻璃抛光,76,315,2024-05-19,华南,23940
ORD1073,CUST153,玻璃切割,99,375,2024-10-02,华北,37125
ORD1005,CUST134,玻璃打磨,13,472,2024-04-27,华北,6136
ORD1094,CUST147,玻璃抛光,1,149,2024-05-16,西南,149
ORD1019,CUST160,玻璃雕刻,71,671,2024-09-03,华东,47641
ORD1009,CUST194,玻璃雕刻,99,140,2024-03-04,华南,13860
ORD1048,CUST179,玻璃雕刻,7,629,2024-01-20,东北,4403
ORD1019,CUST138,玻璃切割,18,877,2024-11-27,华南,15786
ORD1071,CUST192,玻璃切割,5,123,2024-11-26,华南,615
ORD1070,CUST120,玻璃雕刻,49,539,2024-07-20,华南,26411
ORD1011,CUST103,玻璃抛光,67,271,2024-04-15,华东,18157
ORD1031,CUST188,玻璃雕刻,47,689,2024-03-09,华北,32383
ORD1017,CUST127,玻璃雕刻,72,166,2024-06-07,华南,11952
ORD1054,CUST161,玻璃雕刻,89,448,2024-03-10,华东,39872
ORD1009,CUST178,玻璃雕刻,85,733,2024-07-27,华东,62305
ORD1076,CUST114,玻璃切割,77,376,2024-12-19,华北,28952
ORD1033,CUST157,玻璃抛光,84,207,2024-06-14,华北,17388
ORD1048,CUST139,玻璃切割,67,922,2024-08-20,华北,61774
ORD1033,CUST139,玻璃切割,20,413,2024-06-26,华北,8260
ORD1003,CUST193,玻璃雕刻,36,730,2024-10-16,华南,26280
ORD1018,CUST148,玻璃打磨,9,785,2024-06-18,西南,7065
ORD1008,CUST174,玻璃雕刻,44,679,2024-05-12,东北,29876
ORD1077,CUST105,玻璃切割,66,156,2024-01-10,华南,10296
ORD1097,CUST163,玻璃抛光,83,878,2024-01-31,西南,72874
ORD1077,CUST191,玻璃打磨,100,579,2024-08-16,华北,57900
ORD1078,CUST146,玻璃切割,82,941,2024-03-06,华南,77162
ORD1088,CUST142,玻璃打磨,47,376,2024-04-04,东北,17672
ORD1067,CUST119,玻璃雕刻,1,214,2024-07-01,华北,214
ORD1061,CUST135,玻璃打磨,76,481,2024-08-18,华北,36556
ORD1075,CUST165,玻璃雕刻,89,610,2024-01-11,西南,54290
ORD1035,CUST124,玻璃打磨,28,937,2024-02-11,西南,26236
ORD1075,CUST137,玻璃打磨,74,634,2024-07-10,西南,46916
ORD1079,CUST112,玻璃雕刻,77,851,2024-01-13,华东,65527
ORD1039,CUST119,玻璃打磨,89,426,2024-07-14,华东,37914
ORD1037,CUST142,玻璃切割,82,447,2024-09-12,华东,36654
ORD1013,CUST197,玻璃切割,50,112,2024-05-19,华南,5600
ORD1048,CUST158,玻璃切割,41,820,2024-12-27,西南,33620
ORD1065,CUST191,玻璃切割,25,339,2024-06-04,西南,8475
ORD1013,CUST192,玻璃雕刻,77,377,2024-04-19,东北,29029
ORD1025,CUST156,玻璃抛光,79,434,2024-02-13,华南,34286
ORD1006,CUST148,玻璃打磨,21,202,2024-06-09,华东,4242
ORD1055,CUST136,玻璃打磨,72,168,2024-03-13,华北,12096
ORD1077,CUST191,玻璃切割,44,904,2024-06-24,东北,39776
ORD1080,CUST171,玻璃雕刻,74,678,2024-07-27,华北,50172
ORD1022,CUST113,玻璃打磨,1,513,2024-01-06,华东,513
ORD1000,CUST193,玻璃抛光,99,404,2024-10-17,华北,39996
ORD1024,CUST117,玻璃雕刻,39,931,2024-09-13,西南,36309
ORD1058,CUST150,玻璃抛光,1,446,2024-08-14,东北,446
ORD1078,CUST136,玻璃切割,39,336,2024-06-10,华北,13104
ORD1030,CUST186,玻璃切割,55,666,2024-06-12,西南,36630
ORD1007,CUST176,玻璃打磨,28,666,2024-06-29,华南,18648
ORD1061,CUST169,玻璃雕刻,1,719,2024-12-29,华北,719
ORD1031,CUST133,玻璃打磨,46,748,2024-04-12,西南,34408
ORD1009,CUST116,玻璃雕刻,72,311,2024-06-26,东北,22392
ORD1093,CUST197,玻璃抛光,66,449,2024-06-27,西南,29634
ORD1030,CUST121,玻璃抛光,92,572,2024-12-17,东北,52624
ORD1067,CUST121,玻璃雕刻,100,248,2024-10-14,东北,24800
ORD1028,CUST146,玻璃抛光,71,679,2024-07-12,华东,48209
ORD1025,CUST130,玻璃雕刻,36,945,2024-05-13,东北,34020
ORD1036,CUST102,玻璃雕刻,34,890,2024-07-24,华北,30260
ORD1035,CUST187,玻璃打磨,62,657,2024-05-12,华南,40734
ORD1070,CUST162,玻璃雕刻,99,211,2024-08-24,华东,20889
ORD1067,CUST145,玻璃打磨,78,959,2024-04-02,东北,74802
ORD1052,CUST193,玻璃打磨,19,597,2024-12-04,华南,11343
ORD1046,CUST124,玻璃打磨,36,108,2024-08-15,华南,3888
ORD1015,CUST124,玻璃雕刻,97,213,2024-11-13,华北,20661
ORD1023,CUST170,玻璃切割,47,792,2024-09-03,东北,37224
ORD1087,CUST180,玻璃雕刻,55,670,2024-05-20,西南,36850
ORD1072,CUST120,玻璃抛光,18,256,2024-02-04,西南,4608
ORD1043,CUST199,玻璃打磨,46,266,2024-07-24,西南,12236
ORD1004,CUST168,玻璃雕刻,83,104,2024-08-26,华北,8632
ORD1068,CUST153,玻璃雕刻,74,124,2024-01-24,西南,9176
ORD1009,CUST104,玻璃抛光,73,698,2024-01-01,华北,50954
ORD1084,CUST114,玻璃雕刻,42,388,2024-01-26,西南,16296
ORD1061,CUST158,玻璃切割,36,850,2024-07-24,华北,30600
ORD1053,CUST188,玻璃打磨,56,970,2024-10-26,华北,54320
ORD1095,CUST170,玻璃雕刻,67,588,2024-10-03,华东,39396
ORD1028,CUST181,玻璃抛光,88,764,2024-05-26,华南,67232
ORD1003,CUST116,玻璃雕刻,9,834,2024-07-13,东北,7506
ORD1005,CUST119,玻璃抛光,52,341,2024-05-11,华北,17732
ORD1079,CUST162,玻璃抛光,77,184,2024-07-25,东北,14168
ORD1067,CUST160,玻璃打磨,40,545,2024-05-17,华南,21800
ORD1028,CUST122,玻璃雕刻,14,844,2024-05-17,华东,11816
ORD1036,CUST151,玻璃雕刻,47,124,2024-03-22,华东,5828
ORD1039,CUST151,玻璃抛光,8,524,2024-01-10,西南,4192
ORD1088,CUST111,玻璃打磨,97,433,2024-10-31,华南,42001
ORD1060,CUST189,玻璃切割,61,789,2024-07-04,华东,48129
ORD1070,CUST151,玻璃雕刻,93,175,2024-11-08,华南,16275
ORD1034,CUST101,玻璃雕刻,26,983,2024-07-16,东北,25558
ORD1012,CUST105,玻璃切割,51,122,2024-08-13,华北,6222
ORD1094,CUST103,玻璃抛光,79,675,2024-02-06,东北,53325
ORD1074,CUST116,玻璃抛光,3,864,2024-09-19,华东,2592
ORD1046,CUST108,玻璃切割,64,149,2024-12-07,西南,9536
ORD1023,CUST159,玻璃雕刻,76,885,2024-08-09,西南,67260
ORD1031,CUST137,玻璃抛光,69,611,2024-12-16,西南,42159
ORD1061,CUST174,玻璃雕刻,15,166,2024-09-12,华南,2490
ORD1073,CUST128,玻璃雕刻,42,120,2024-01-12,华东,5040
ORD1002,CUST144,玻璃切割,91,554,2024-11-26,西南,50414
ORD1096,CUST109,玻璃打磨,89,959,2024-12-14,华东,85351
ORD1005,CUST159,玻璃打磨,17,844,2024-03-28,西南,14348
ORD1048,CUST184,玻璃切割,98,662,2024-09-22,华东,64876
ORD1091,CUST123,玻璃雕刻,46,923,2024-04-30,华东,42458
ORD1091,CUST198,玻璃抛光,47,130,2024-01-22,华北,6110
ORD1026,CUST188,玻璃雕刻,78,575,2024-07-22,东北,44850
ORD1098,CUST118,玻璃切割,8,911,2024-08-05,华北,7288
ORD1074,CUST170,玻璃切割,6,163,2024-09-03,华东,978
ORD1000,CUST131,玻璃雕刻,19,605,2024-09-09,东北,11495
ORD1077,CUST145,玻璃抛光,84,906,2024-05-02,东北,76104
ORD1016,CUST196,玻璃切割,43,930,2024-12-06,东北,39990
ORD1016,CUST195,玻璃抛光,59,539,2024-10-09,华东,31801
ORD1003,CUST157,玻璃雕刻,74,525,2024-08-12,东北,38850
ORD1094,CUST118,玻璃抛光,71,974,2024-05-19,华北,69154
ORD1087,CUST129,玻璃雕刻,34,161,2024-03-22,东北,5474
ORD1086,CUST145,玻璃切割,67,264,2024-01-25,西南,17688
ORD1057,CUST118,玻璃雕刻,69,985,2024-04-15,西南,67965
ORD1091,CUST108,玻璃切割,54,670,2024-10-16,华北,36180
ORD1043,CUST140,玻璃切割,95,380,2024-03-03,华南,36100
ORD1036,CUST116,玻璃打磨,33,797,2024-07-24,东北,26301
ORD1086,CUST126,玻璃打磨,36,638,2024-04-27,东北,22968
ORD1046,CUST198,玻璃雕刻,7,488,2024-02-12,东北,3416
ORD1092,CUST142,玻璃打磨,38,244,2024-07-04,华东,9272
ORD1083,CUST164,玻璃雕刻,46,645,2024-06-09,东北,29670
ORD1013,CUST185,玻璃雕刻,33,676,2024-03-28,华北,22308
ORD1072,CUST125,玻璃切割,73,157,2024-06-26,华北,11461
ORD1061,CUST146,玻璃雕刻,17,694,2024-11-27,华南,11798
ORD1071,CUST167,玻璃抛光,86,790,2024-02-14,东北,67940
ORD1052,CUST141,玻璃雕刻,17,400,2024-05-10,东北,6800
ORD1084,CUST196,玻璃打磨,78,720,2024-12-17,华北,56160
ORD1025,CUST181,玻璃雕刻,65,890,2024-03-17,东北,57850
ORD1013,CUST117,玻璃打磨,74,849,2024-10-02,华南,62826
ORD1085,CUST110,玻璃雕刻,14,302,2024-08-16,东北,4228
ORD1090,CUST196,玻璃雕刻,76,522,2024-04-20,华东,39672
ORD1072,CUST164,玻璃切割,62,441,2024-06-06,华北,27342
ORD1004,CUST190,玻璃打磨,7,639,2024-09-07,东北,4473
ORD1072,CUST137,玻璃打磨,24,332,2024-04-15,东北,7968
ORD1031,CUST146,玻璃雕刻,92,122,2024-04-05,华南,11224
ORD1032,CUST144,玻璃雕刻,86,533,2024-06-17,华北,45838
ORD1041,CUST102,玻璃雕刻,82,289,2024-06-25,华北,23698
ORD1096,CUST124,玻璃雕刻,76,392,2024-08-07,华东,29792
ORD1043,CUST126,玻璃切割,99,218,2024-04-09,华南,21582
ORD1018,CUST185,玻璃雕刻,24,630,2024-09-20,东北,15120
ORD1089,CUST197,玻璃抛光,36,320,2024-06-21,东北,11520
ORD1026,CUST140,玻璃抛光,52,733,2024-06-20,华北,38116
ORD1066,CUST121,玻璃雕刻,59,847,2024-06-11,华北,49973
ORD1009,CUST114,玻璃雕刻,69,125,2024-12-11,华南,8625
ORD1057,CUST105,玻璃雕刻,78,316,2024-11-21,西南,24648
ORD1033,CUST199,玻璃雕刻,57,784,2024-04-22,华东,44688
ORD1083,CUST115,玻璃雕刻,17,321,2024-02-21,华东,5457
ORD1078,CUST192,玻璃打磨,57,810,2024-12-22,东北,46170
ORD1061,CUST160,玻璃切割,66,689,2024-07-31,华北,45474
ORD1057,CUST124,玻璃雕刻,46,337,2024-04-09,华南,15502
ORD1043,CUST105,玻璃雕刻,28,809,2024-11-20,华北,22652
ORD1028,CUST151,玻璃抛光,51,241,2024-04-22,东北,12291
ORD1061,CUST140,玻璃抛光,62,274,2024-11-06,东北,16988
ORD1048,CUST181,玻璃切割,92,615,2024-01-30,东北,56580
ORD1035,CUST172,玻璃切割,9,437,2024-12-27,华东,3933
ORD1044,CUST140,玻璃切割,81,696,2024-05-02,华南,56376
ORD1048,CUST167,玻璃打磨,64,663,2024-09-22,华东,42432
ORD1065,CUST122,玻璃雕刻,70,979,2024-04-03,西南,68530
ORD1066,CUST147,玻璃抛光,39,480,2024-07-12,东北,18720
ORD1006,CUST155,玻璃打磨,86,195,2024-02-29,华北,16770
ORD1028,CUST193,玻璃切割,91,560,2024-02-09,西南,50960
ORD1008,CUST152,玻璃抛光,18,509,2024-10-23,东北,9162
ORD1001,CUST189,玻璃切割,94,221,2024-05-29,华北,20774
ORD1010,CUST162,玻璃雕刻,36,950,2024-09-09,华北,34200
ORD1072,CUST114,玻璃打磨,40,310,2024-04-29,华北,12400
ORD1053,CUST126,玻璃抛光,22,981,2024-09-08,华南,21582
ORD1046,CUST105,玻璃雕刻,71,162,2024-08-29,华北,11502
ORD1075,CUST177,玻璃雕刻,96,705,2024-09-08,华南,67680
ORD1038,CUST140,玻璃抛光,99,137,2024-03-14,华南,13563
ORD1094,CUST179,玻璃雕刻,80,919,2024-10-03,华南,73520
ORD1077,CUST173,玻璃雕刻,9,517,2024-02-06,华东,4653
ORD1035,CUST143,玻璃切割,5,474,2024-07-07,华北,2370
ORD1081,CUST180,玻璃切割,63,140,2024-07-30,华南,8820
ORD1059,CUST199,玻璃打磨,16,499,2024-02-18,华北,7984
ORD1079,CUST183,玻璃雕刻,65,252,2024-09-12,华北,16380
ORD1077,CUST136,玻璃雕刻,75,531,2024-08-17,华东,39825
ORD1082,CUST140,玻璃雕刻,61,205,2024-08-09,东北,12505
ORD1046,CUST180,玻璃雕刻,83,229,2024-11-07,西南,19007
ORD1093,CUST150,玻璃抛光,36,299,2024-11-19,华东,10764
ORD1028,CUST172,玻璃雕刻,51,963,2024-02-12,西南,49113
ORD1052,CUST144,玻璃雕刻,72,177,2024-08-01,西南,12744
ORD1044,CUST157,玻璃打磨,69,738,2024-08-08,华南,50922
ORD1087,CUST139,玻璃雕刻,67,846,2024-08-24,华北,56682
ORD1056,CUST123,玻璃打磨,53,619,2024-01-23,东北,32807
ORD1065,CUST189,玻璃切割,55,926,2024-03-17,东北,50930
ORD1073,CUST195,玻璃抛光,83,960,2024-05-17,东北,79680
ORD1081,CUST131,玻璃打磨,65,513,2024-01-06,华北,33345
ORD1078,CUST116,玻璃切割,80,231,2024-05-08,华北,18480
ORD1025,CUST160,玻璃雕刻,36,479,2024-09-22,东北,17244
ORD1043,CUST154,玻璃打磨,33,911,2024-04-14,华南,30063
ORD1058,CUST121,玻璃雕刻,84,120,2024-02-13,东北,10080
ORD1018,CUST157,玻璃打磨,84,551,2024-05-13,东北,46284
ORD1073,CUST184,玻璃切割,25,159,2024-02-22,华南,3975
ORD1096,CUST161,玻璃打磨,28,163,2024-08-25,华东,4564
ORD1066,CUST108,玻璃切割,78,173,2024-09-04,东北,13494
ORD1001,CUST179,玻璃打磨,95,847,2024-06-15,华东,80465
ORD1005,CUST188,玻璃抛光,45,885,2024-07-13,华南,39825
ORD1004,CUST115,玻璃切割,80,546,2024-04-11,华东,43680
ORD1059,CUST120,玻璃雕刻,36,222,2024-08-11,东北,7992
ORD1057,CUST101,玻璃抛光,8,819,2024-08-13,华北,6552
ORD1011,CUST181,玻璃雕刻,50,947,2024-01-25,西南,47350
ORD1061,CUST132,玻璃抛光,91,584,2024-02-15,华南,53144
ORD1031,CUST105,玻璃切割,23,369,2024-08-10,西南,8487
ORD1098,CUST119,玻璃雕刻,41,516,2024-10-22,东北,21156
ORD1050,CUST172,玻璃抛光,36,233,2024-08-01,华南,8388
ORD1039,CUST103,玻璃打磨,12,764,2024-06-17,华北,9168
ORD1026,CUST193,玻璃雕刻,10,520,2024-03-01,华东,5200
ORD1057,CUST104,玻璃打磨,53,151,2024-08-02,华北,8003
ORD1043,CUST143,玻璃打磨,41,188,2024-02-01,华北,7708
ORD1078,CUST163,玻璃雕刻,79,139,2024-12-02,华北,10981
ORD1053,CUST178,玻璃打磨,87,884,2024-08-27,西南,76908
ORD1070,CUST124,玻璃雕刻,76,160,2024-02-23,华北,12160
ORD1032,CUST167,玻璃切割,22,772,2024-03-02,西南,16984
ORD1015,CUST101,玻璃打磨,42,197,2024-05-01,华东,8274
ORD1045,CUST104,玻璃打磨,98,944,2024-09-12,华北,92512
ORD1022,CUST152,玻璃雕刻,48,256,2024-07-05,东北,12288
ORD1063,CUST169,玻璃打磨,16,809,2024-03-03,华东,12944
